Market Type ID,Market Type
1029,Auction Hay
1000,Auction Livestock
1013,Auction Livestock (Board Sale)
1010,Auction Livestock (Imported)
1012,Auction Livestock (Special Graded)
1011,Auction Livestock (Special)
1039,Bioenergy
1017,Cold Storage
1005,Cotton Forward Contract
1026,Cotton Quality
1084,Direct Hay
1085,Direct Livestock
1139,Direct SOD
1053,Inspected Livestock - FIS Slaughter (Actual)
1054,Inspected Livestock - FIS Slaughter (Estimate)
1057,International Livestock - Import/Export (Mexico)
1058,International Livestock - Misc
1059,International Livestock - Trades
1008,Inventory-Eggs
1064,Livestock - Drop/By-Products
1068,Livestock - Wool
1081,Movement
1007,Point of Sale - Dairy
1082,Point of Sale - Feedstuffs
1083,Point of Sale - Grain
1071,Point of Sale - Poultry
1016,Point of Sale - Rice
1073,Production Costs
1018,Retail - Dairy
1136,Retail - Livestock/Poultry/Egg
1075,Retail - Specialty Crops
1036,Shipping Point
1030,Terminal
1032,Tobacco Stocks Manufacture
1027,Trends
1034,Truck Rates
1031,Video Auction Livestock
